treatment,n,acertos,erros,taxa_acerto,tp,tn,fp,fn,precision,recall,specificity,f1,mcc,kappa,positivos_gt,positivos_pred
sonarqube,8711.0,7817.0,894.0,0.8973711399380094,249.0,7568.0,199.0,695.0,0.5558035714285714,0.263771186440678,0.9743787820265225,0.3577586206896552,0.33516240237481243,0.3096000598587504,944.0,448.0
deepseek_few_shot,8711.0,7732.0,979.0,0.887613362415337,558.0,7174.0,593.0,386.0,0.48479582971329277,0.5911016949152542,0.9236513454358182,0.5326968973747017,0.4725121829803682,0.4695305688311797,944.0,1151.0
chatgpt_zero_shot,8711.0,7663.0,1048.0,0.8796923430145792,568.0,7095.0,672.0,376.0,0.45806451612903226,0.6016949152542372,0.9134801081498648,0.5201465201465202,0.4583183423018539,0.45281167779049536,944.0,1240.0
deepseek_zero_shot,8711.0,7656.0,1055.0,0.8788887613362415,534.0,7122.0,645.0,410.0,0.4529262086513995,0.565677966101695,0.9169563538045578,0.503061705134244,0.4385496741535201,0.4350635048370367,944.0,1179.0
chatgpt_few_shot,8711.0,7258.0,1453.0,0.8331994030536104,660.0,6598.0,1169.0,284.0,0.3608529250956807,0.6991525423728814,0.8494914381357024,0.4760187522538767,0.4187348250622199,0.3886191060179299,944.0,1829.0
claude_zero_shot,8710.0,7255.0,1455.0,0.8329506314580941,708.0,6547.0,1219.0,236.0,0.36741048261546444,0.75,0.8430337368014422,0.49320794148380354,0.4441322651964975,0.40692103989501427,944.0,1927.0
claude_few_shot,8711.0,7069.0,1642.0,0.8115026977384916,691.0,6378.0,1389.0,253.0,0.33221153846153845,0.7319915254237288,0.8211664735419081,0.45701058201058203,0.4033115553157733,0.3618805850932839,944.0,2080.0
