treatment,tn,fp,fn,tp,n,taxa_acerto,precision,recall,f1
chatgpt_few_shot,6598.0,1169.0,284.0,660.0,8711.0,0.8331994030536104,0.3608529250956807,0.6991525423728814,0.4760187522538767
chatgpt_zero_shot,7095.0,672.0,376.0,568.0,8711.0,0.8796923430145792,0.45806451612903226,0.6016949152542372,0.5201465201465202
claude_few_shot,6378.0,1389.0,253.0,691.0,8711.0,0.8115026977384916,0.33221153846153845,0.7319915254237288,0.45701058201058203
claude_zero_shot,6547.0,1219.0,236.0,708.0,8710.0,0.8329506314580941,0.36741048261546444,0.75,0.49320794148380354
deepseek_few_shot,7174.0,593.0,386.0,558.0,8711.0,0.887613362415337,0.48479582971329277,0.5911016949152542,0.5326968973747017
deepseek_zero_shot,7122.0,645.0,410.0,534.0,8711.0,0.8788887613362415,0.4529262086513995,0.565677966101695,0.503061705134244
sonarqube,7568.0,199.0,695.0,249.0,8711.0,0.8973711399380094,0.5558035714285714,0.263771186440678,0.3577586206896552
