treatment,media,mediana,desvio_padrao,minimo,p25,p75,maximo
claude_zero_shot,0.5245547274021912,0.574827281699652,0.23286731742088665,0.20388349514563106,0.43985976267529664,0.6595222464265466,0.7446808510638298
deepseek_few_shot,0.49516212687294925,0.5573671497584541,0.22526579754562215,0.17275747508305647,0.44174009340844533,0.610789183222958,0.6931567328918322
chatgpt_zero_shot,0.4918676882768859,0.5555050275377698,0.21674082138543999,0.18126888217522658,0.43413031740601676,0.6132423984086388,0.6751918158567775
claude_few_shot,0.4958164429440608,0.5396287366208928,0.23397244464418557,0.1723009814612868,0.4429500889197648,0.5924950906451889,0.7317073170731707
chatgpt_few_shot,0.49546918904284315,0.5315028495854096,0.2570551031215067,0.14964028776978416,0.41851144866334716,0.6084605899649056,0.7692307692307693
deepseek_zero_shot,0.4899129111822453,0.51533919180978,0.21095222280969464,0.2088167053364269,0.4315478056777361,0.5737042973142893,0.7201565557729941
sonarqube,0.31926516551051864,0.31123543123543124,0.12173246163340548,0.20105820105820105,0.2248100048100048,0.4056905919359451,0.45353159851301117
